bill_number,state,title,status,last_action_date
HB101,CA,Health Insurance Premium Regulation Act,2,2025-01-10
SB202,TX,Auto Insurance Rate Transparency Bill,5,2025-02-15
HB303,FL,Medicaid Coverage Expansion Act,2,2025-03-05
SB404,NY,Life Insurance Consumer Protection Law,3,2025-01-25
HB505,PA,Property Insurance Disaster Coverage Bill,4,2025-02-12
SB606,IL,Insurance Fraud Prevention Enhancement Act,2,2025-03-20
HB707,GA,Health Insurance Network Adequacy Law,5,2025-02-01
SB808,NC,Auto Claims Processing Reform Act,3,2025-03-10
HB909,MI,Insurance Data Privacy Protection Bill,2,2025-01-30
SB010,NJ,Life Insurance Disclosure Requirements Act,5,2025-02-28
HB111,WA,Medicare Supplement Policy Reform Act,2,2025-03-18
SB212,CO,Insurance Premium Cap Regulation Bill,4,2025-01-22
HB313,MN,Healthcare Insurance Accessibility Act,2,2025-02-17
SB414,VA,Auto Liability Coverage Increase Bill,5,2025-03-02
HB515,AZ,Insurance Market Competition Law,3,2025-02-08
SB616,OH,Health Claims Transparency Act,2,2025-03-12
HB717,MA,Insurance Policyholder Protection Act,4,2025-01-19
SB818,OR,Auto Insurance Minimum Coverage Update,5,2025-02-23
HB919,NV,Insurance Fraud Reporting Requirements Bill,2,2025-03-14
SB020,UT,Health Insurance Cost Reduction Act,3,2025-01-27
